Batch=1	Batch=1	Batch=2	Batch=2	Batch=5	Batch=5	Batch=10	Batch=10	Batch=20	Batch=20	Batch=30	Batch=30	Batch=50	Batch=50
322570	2125243	328170	2056793	347622	1895947	342676	2082054	299103	2498313	254381	2893472	192910	3824047
356026	3193906	355077	3255929	388380	2953016	414903	2972411	401262	3430215	361290	3874417	308817	4654172
372941	5823676	374526	5788447	408505	5327053	433186	4892857	454499	5187713	460577	5111824	428074	6295155
383846	8228338	384351	8849574	411725	8049793	441281	7468798	462299	6970716	470989	6042134	464815	7399473
386534	10287908	387393	11273617	416667	10348281	441458	9308738	464310	9224168	476000	8301985	479043	7357151
393688	12914136	388663	14133299	418961	12115277	445940	11668279	468075	10869204	478911	8346405	478024	8642681
