Batch=1	Batch=1	Batch=2	Batch=2	Batch=5	Batch=5	Batch=10	Batch=10	Batch=20	Batch=20	Batch=30	Batch=30	Batch=50	Batch=50
355103	1990266	361887	1835440	392442	1738215	386370	1788888	332624	2294113	279871	2714957	214797	3488277
398582	2951872	406317	2696664	449247	2564212	476478	2424816	463564	2913021	428369	3288703	352320	4117747
422319	4668688	425938	4699295	465792	3822975	495186	4142994	522303	4049514	531801	4029456	500171	5265026
433649	7131436	434610	6576932	470282	5899388	502514	5626938	527977	4659838	538716	4511580	535198	5654747
432749	9406275	430985	9093026	469383	8500646	505874	6799390	530277	6693211	542026	4392722	537742	5880370
436979	11694778	436510	9830065	468515	9329033	503902	9220746	531151	9236481	540851	4548581	539122	5978774
