parameter	Hackwrench	Hackwrench-nofast	COCO-colocated	COCO-remote	Calvin	OCC+Caching FDB
10	465070	245494	699953	154907	224730	18166.2 93372.6
20	360361	212314	471339	151013	217658	17750.9 88185.7
30	329835	194811	367088	143919	217273	17407.3 82240.6
40	323853	184172	317846	138596	214875	16930.8 80251.8
50	316458	182460	270716	130408	205928	17093.2 82786.9
60	301651	184972	242625	124636	201057	16461.1 80273.6
70	302654	175675	218552	120628	203404	16440   84578.8
80	296080	178781	199424	115557	185573	15897.3 89062
90	288401	172301	181201	113098	198721	15680   80309.3
100	282833	181836	165881	109422	194893	15279.1 80062.7
