BS=1	BS=1	BS=5	BS=5	BS=10	BS=10	BS=20	BS=20	BS=40	BS=40	BS=80	BS=80	BS=160	BS=160
13157.1	535163	54074.9	634200	94231.1	729618	149174	932685	213849	1305259	269259	2049624	314895	3515221
191549	1584126	222035	1381768	259449	1204514	270250	1137210	220337	1408270	281450	3373693	328893	4598225
240752	4029886	260958	3614992	282836	3247786	348757	2702920	399074	2392466	414099	3884469	466317	7095857
258500	6482695	276985	5834299	303865	5174447	368350	4373783	421116	3817522	511616	6591976	554428	12329513
277456	12215778	326472	9946588	370012	8836933	424160	7567551	480897	6721598	572177	11909288	537442	25483002
301376	22531600	370586	16915338	431806	14960483	502731	12993007	553540	12053828	583608	24253819	529783	38674600
324801	42820560	416648	30919169	467035	29793687	528923	26963139	586629	24068930	579876	37388138	509165	55696994
332426	67772150	438927	45099631	472962	47226353	543710	40391765	590165	37385034	570412	52302377	516966	66411789
""	""	444990	60348077	475896	66872869	536518	58285596	585532	51499265	572010	64201760		
