""	Exe.	Ts.	Prepare	"Repair"	Commit	Other	Idle
Hackwrench	40.95	7.53	18.26	0.00	0.00	14.29	18.96
"          Hackwrench\n-nofast"	31.52	6.41	12.25	6.00	6.75	16.72	20.34
