""	Exe.	Ts.	Prepare	"Repair"	Commit	Other	Idle
Hackwrench	52.45%	9.35%	26.31%	0.00%	0.00%	8.62%	3.27%
"Hackwrench\n-nofast"	37.29%	5.70%	14.79%	0.87%	2.40%	16.26%	22.70%
