System	Exe.	Prepare	Commit	Abort	Remote	Idle
"Sundial\n-remote"	6.68	0.56	1.77	30.49	0.43	60.07
"Sundial\n-colocated"	15.06	0.92	3.76	44.26	0.37	35.62
