parameter	Hackwrench	Hackwrench-nofast	Sundial-colocated	Sundial-remote
10	477022	270612	461889	147428
20	383970	213018	302662	127174
30	347196	201083	229867	113218
40	339212	197115	184976	102386
50	329178	185580	155672	92807.1
60	327410	184541	135332	86232
70	315994	176798	118985	79175.8
80	317870	175600	105646	72585.3
90	310351	171246	97690.4	70304.4
100	301680	174574	89623.6	65660.7
