Remote-Probability	"Hackwrench"	Hackwrench-nofast	OCC+Caching	FDB
"0 | 0.0"   417194	326659	41734	11344
"1 | 9.6"   342501	240573	38848	11327
"2 | 18.3"  322163	227608	37814	11344
"3 | 26.3"  317593	214896	36048	11332
"5 | 40.1"  304033	209625	35403	11344
"7 | 51.6"  294446	185981	31977	11344
"9 | 61.1"  280646	169878	30788	11344
"10 | 65.1" 273684	160445	30799	11327
"15 | 80.3" 234502	127646	28766	11344
"20 | 89.3" 226008	112731	27229	11360










